<Cluster with 342 elements, centroid=44, id=0>,[    0     1     2     3     4     5     6     7     8    10    11    12    13    14    15    16    17    18    19    21    22    24    25    26    27    28    29    30    31    32    34    35    36    37    38    39    40    42    43    44    47    49    50    51    53    54    55    56    57    58    60    62    63    65    68    69    70    72    74    75    77    78    79    81    82    83    84    85    86    87    88    89    90    91    95    97    98    99   102   104   107   108   109   111   112   113   115   116   118   119   120   121   123   124   127   133   134   137   138   139   141   143   144   147   148   158   160   162   163   164   167   170   179   180   187   192   193   200   204   206   210   220   225   229   231   236   244   245   249   253   257   258   261   265   271   282   294   305   306   308   310   320   326   331   351   359   360   369   382   417   423   440   448   463   472   481   492   493   508   509   525   555   567   601   611   638   643   667   714   717   722   725   745   749   771   815   825   873   912   921   950  1020  1035  1064  1089  1095  1106  1147  1192  1266  1298  1349  1519  1568  1582  1648  1652  1789  1846  1938  1975  2211  2213  2277  2313  2332  2463  2474  2537  2644  2750  2840  2853  2870  2959  3096  3272  3394  3475  3562  3751  3756  3946  4062  4210  4375  5034  5303  5654  5706  5746  5806  5892  5948  5963  6047  6112  6438  6473  7329  7661  7735  8435  8617  8718 10142 10264 10339 10391 10483 10524 11142 11231 11762 12230 12649 12860 13417 13686 13703 14474 14657 15005 15098 15343 15436 16176 16434 16639 17143 17591 17626 17681 18052 18145 18248 19211 19444 19448 19785 19849 20725 20756 20850 21344 21601 21643 22095 22128 22465 22821 22943 23021 23292 23302 23377 23477 23775 24389 24499 24915 26058 26072 26107 26165 26265 26492 26570 26704 26812 27234 27302 27404 27519 27924 28040 28466 29010 29080 29372 29601 29821 30241 30616 30753 30810 31002 31077 31222 31733 31850 32567 32572 32632 32749 32832 32903 32909 32944 32967 32976 33049]
<Cluster with 388 elements, centroid=419, id=1>,[    9    20    23    33    41    45    46    48    52    59    61    64    66    67    71    73    76    80    92    93    94    96   100   101   103   105   110   114   117   122   125   126   128   129   130   131   132   136   146   150   159   165   195   201   202   219   222   226   235   241   242   246   277   286   287   309   321   328   337   343   347   352   365   380   384   385   386   392   416   419   424   425   428   442   468   483   513   536   547   564   569   579   598   603   606   607   635   642   671   673   683   726   739   748   803   818   845   865   894   897   909   935   979   989  1004  1012  1014  1031  1036  1067  1090  1096  1130  1137  1139  1177  1210  1211  1230  1267  1293  1316  1410  1420  1427  1454  1480  1559  1565  1577  1594  1635  1660  1661  1669  1746  1769  1797  1824  1886  1893  1895  1914  1937  1959  1974  2004  2025  2035  2061  2129  2153  2167  2200  2238  2246  2283  2305  2321  2358  2385  2388  2397  2414  2422  2432  2455  2460  2479  2521  2535  2593  2612  2638  2655  2753  2799  2944  2954  2971  2989  3055  3095  3102  3214  3215  3222  3300  3325  3329  3452  3458  3513  3530  3567  3800  3801  3883  3943  4032  4077  4122  4184  4205  4314  4597  4673  4743  4800  4859  4963  5055  5075  5146  5170  5616  5690  5724  5849  5906  5924  6225  6303  6343  6471  6479  6614  6615  7073  7110  7306  7334  7388  7391  7514  7530  7537  7784  7838  7923  8016  8066  8078  8282  8405  8946  9068  9201  9255  9438  9461  9472 10167 10322 10354 10415 10487 10667 10725 10785 10929 11084 11099 11139 11222 11373 11522 11574 11813 11950 12092 12461 12936 13109 13160 13195 13460 13530 13547 13712 13976 14007 14312 14421 14801 14807 14843 14965 15167 15225 15614 15678 15726 15897 16089 16112 16387 16467 16554 16565 16873 16897 17101 17199 17312 17337 17657 17953 17993 18465 18871 18957 19524 19623 20046 20117 20207 20668 20853 20929 20994 21164 21419 21482 21495 21589 21631 21878 21928 22082 22153 22734 22907 23183 23474 23828 24103 24190 24199 24404 24422 24492 24939 24944 24989 25450 25482 25526 25745 26006 26413 26466 26664 26685 26710 26732 26828 27068 27149 27154 27228 27262 27371 27379 27594 27649 27773 28426 28553 30073 30112 30339 30535 30670 30732 31498 31532 31624 31739 31975 32703 32752 32782 32852 32948 32971 32987 33084]
<Cluster with 414 elements, centroid=843, id=2>,[  145   151   166   175   177   181   183   185   189   190   196   197   199   203   207   208   212   213   216   221   232   234   243   247   248   250   251   252   255   256   259   267   268   270   275   276   280   283   284   285   288   289   291   293   295   296   297   299   303   312   314   316   324   325   327   332   335   336   339   340   342   344   346   348   349   355   358   361   362   363   364   367   368   374   387   388   389   390   391   393   399   401   405   407   408   410   412   415   418   421   429   431   432   433   436   441   443   450   454   455   457   460   461   462   466   484   486   487   489   494   497   498   501   514   516   532   546   548   549   550   559   561   584   585   588   612   613   652   654   662   670   700   708   713   735   744   747   762   788   798   805   829   841   843   846   851   854   875   878   883   889   902   910   911   933   970   978   980   985   991  1006  1024  1051  1073  1076  1080  1086  1099  1103  1109  1115  1146  1149  1166  1178  1185  1198  1207  1209  1223  1234  1250  1260  1276  1313  1319  1326  1342  1347  1361  1368  1407  1408  1414  1429  1430  1456  1468  1488  1493  1502  1511  1516  1551  1569  1592  1597  1608  1624  1638  1684  1685  1699  1703  1715  1737  1743  1772  1773  1809  1851  1896  1915  1947  1962  1963  1993  1999  2002  2023  2032  2043  2054  2075  2080  2091  2105  2114  2117  2121  2133  2179  2192  2198  2203  2207  2232  2314  2331  2378  2403  2508  2601  2622  2624  2626  2652  2672  2728  2766  2778  2780  2822  2831  2875  2890  2908  2932  2934  2975  3029  3054  3068  3069  3086  3092  3119  3161  3239  3262  3265  3312  3318  3379  3392  3417  3468  3648  3880  3897  3944  3980  4072  4137  4154  4312  4352  4439  4448  4489  4561  4621  4647  4749  4777  4802  4813  4992  5021  5060  5061  5068  5072  5141  5231  5473  5532  5757  5908  5951  5989  5990  6230  6289  6668  6678  6994  7154  7185  7198  7301  7357  7847  7952  7955  8106  8289  8469  8762  9444  9489  9565  9596 10326 11040 11083 11255 11303 11602 11640 11672 11681 12521 12876 13012 13241 13252 13622 14102 14332 14486 14824 15140 15338 15752 16313 16512 16676 16723 16892 16971 17177 17265 17432 17619 17632 18062 18374 19001 19296 19459 19914 20753 20780 20981 21581 22953 23869 23872 24159 25007 25059 25767 25953 26163 26174 26380 26487 26794 26823 27676 27751 28593 28841 29481 29605 29992 29999 30105 31170 31406 32262 32340 32481]
<Cluster with 349 elements, centroid=1003, id=3>,[  227   262   266   269   281   290   304   315   318   329   333   338   341   366   373   376   379   413   427   434   438   444   445   446   447   449   474   477   478   482   488   495   503   510   520   524   533   537   543   552   562   568   571   574   593   596   602   619   634   644   645   647   648   655   663   664   666   692   693   716   727   729   754   775   778   793   795   807   824   833   849   855   869   881   903   922   932   940   946   947   974   977  1000  1003  1013  1048  1054  1056  1061  1070  1072  1075  1094  1121  1134  1143  1153  1161  1167  1172  1187  1190  1225  1227  1241  1275  1281  1329  1333  1353  1355  1373  1376  1388  1400  1401  1405  1435  1443  1449  1453  1464  1465  1470  1492  1495  1503  1514  1521  1548  1564  1567  1570  1572  1606  1618  1622  1623  1645  1653  1689  1693  1732  1740  1753  1762  1767  1777  1785  1790  1801  1804  1816  1826  1829  1832  1833  1840  1876  1878  1891  1900  1916  1926  1930  1981  1987  2028  2029  2047  2094  2125  2162  2201  2209  2224  2226  2233  2263  2301  2333  2354  2361  2369  2371  2401  2402  2412  2438  2485  2490  2501  2517  2549  2555  2563  2698  2711  2722  2724  2756  2819  2910  2942  2946  2996  3012  3097  3117  3157  3180  3186  3198  3203  3210  3234  3235  3254  3279  3322  3376  3399  3418  3478  3511  3572  3599  3675  3737  3793  3825  3874  3886  3905  3912  3984  4005  4006  4036  4061  4227  4273  4282  4325  4419  4551  4598  4625  4641  4683  4803  5242  5262  5383  5476  5485  5572  5736  6059  6087  6097  6179  6316  6360  6466  6640  6713  6966  7085  7100  7141  7156  7558  7618  7932  7995  8320  8693  8846  8907  8917  9061  9323  9393  9458  9721 10575 10985 11118 11146 11757 12040 12074 12163 12339 12555 13089 13464 13531 13554 13698 14017 14629 14874 15020 15062 15080 15090 15126 15493 15886 16634 16638 17511 18390 18542 19245 19319 19621 19935 20277 20424 20499 20550 20751 21074 21677 21801 21844 22844 23166 24068 24826 25103 26461 26713 26929 27416 27899 28078 29450 30127 30359 31519 31817 32028 32197 32556 32707]
<Cluster with 374 elements, centroid=1439, id=4>,[  403   404   453   475   519   528   531   576   586   590   599   608   623   627   660   684   687   689   696   715   734   757   760   780   837   844   898   906   916   920   942   958   976   994   996   997   998  1008  1026  1027  1029  1058  1071  1127  1175  1204  1231  1236  1244  1246  1248  1292  1294  1297  1303  1315  1328  1334  1341  1348  1351  1386  1397  1403  1425  1436  1439  1466  1474  1477  1479  1482  1485  1510  1512  1513  1524  1545  1550  1557  1561  1584  1589  1602  1603  1611  1613  1628  1634  1659  1672  1701  1708  1712  1741  1760  1766  1791  1793  1828  1834  1877  1889  1940  1943  1945  1970  1989  1995  2014  2020  2042  2045  2056  2059  2065  2069  2070  2110  2115  2135  2142  2143  2144  2161  2172  2181  2187  2196  2242  2272  2304  2337  2342  2344  2356  2357  2375  2394  2504  2556  2634  2670  2689  2703  2706  2733  2742  2744  2752  2765  2771  2773  2797  2814  2826  2828  2841  2850  2858  2865  2886  2887  2916  2920  2926  2938  2958  2963  2972  2974  2976  3011  3015  3064  3081  3084  3104  3139  3140  3149  3158  3183  3193  3227  3230  3250  3313  3330  3331  3350  3405  3446  3477  3501  3536  3580  3590  3612  3632  3642  3721  3774  3799  3866  4070  4102  4158  4239  4313  4389  4516  4531  4684  4705  4730  4871  4939  5143  5226  5367  5382  5401  5461  5524  5749  5836  5869  5882  6410  6443  6487  6503  6641  6687  6741  6844  6989  7047  7125  7205  7376  7683  7910  8049  8077  8079  8139  8863  8928  9268  9368  9403  9744  9943 10227 10393 10411 10521 10907 10937 11180 11551 11621 11702 11949 12127 12139 12180 12246 12437 12439 12641 12727 12977 13063 13265 13628 13691 13744 13781 13860 14026 14319 14547 14903 15531 15635 15652 15970 16937 17057 17112 17118 17145 17868 18129 18160 18384 18499 19003 19237 19552 19758 19955 20386 20397 20647 20687 20803 20866 20953 21008 21138 21160 21395 21451 21829 21937 22739 22833 22865 23080 23354 23883 24053 24108 24645 25227 25279 25511 25732 25983 25998 26364 26460 26586 26852 26954 27869 28007 28100 28194 28397 28549 28654 28774 28970 29104 29610 29679 29712 29799 30018 30221 30641 30709 30874 31062 31277 31506 31815 31859 31968 32057 32210 32366 32576 32649 32862 32864 32890 33065 33098]
<Cluster with 545 elements, centroid=1585, id=5>,[  330   375   378   396   402   426   437   471   473   499   506   534   539   540   542   551   554   575   581   587   597   605   620   625   628   641   656   668   672   679   695   697   702   709   723   737   752   758   769   770   776   777   781   814   821   835   848   859   868   874   879   885   913   915   928   937   941   949   953   956   960   966   992  1009  1016  1019  1021  1033  1034  1037  1038  1042  1046  1050  1062  1077  1079  1082  1087  1098  1119  1124  1125  1129  1135  1136  1148  1158  1162  1171  1183  1193  1195  1197  1203  1205  1206  1212  1226  1235  1240  1249  1253  1256  1259  1264  1265  1270  1278  1280  1286  1289  1305  1320  1325  1332  1337  1339  1346  1350  1357  1364  1365  1366  1372  1377  1383  1384  1391  1399  1404  1406  1417  1421  1442  1457  1471  1487  1489  1498  1508  1509  1518  1522  1526  1528  1532  1535  1539  1549  1553  1554  1555  1578  1585  1588  1595  1596  1610  1614  1621  1631  1632  1640  1642  1644  1650  1651  1656  1658  1666  1673  1675  1680  1683  1702  1704  1709  1714  1716  1724  1728  1731  1735  1761  1774  1778  1787  1795  1796  1800  1813  1817  1821  1838  1841  1844  1845  1849  1850  1854  1859  1865  1870  1872  1875  1882  1897  1899  1901  1906  1907  1921  1925  1929  1931  1946  1951  1952  1979  1982  1988  1992  2009  2022  2033  2040  2051  2066  2074  2083  2085  2089  2095  2100  2104  2107  2108  2109  2112  2113  2123  2127  2140  2160  2163  2164  2177  2183  2191  2217  2222  2227  2231  2235  2237  2258  2259  2271  2273  2276  2285  2298  2312  2316  2317  2326  2347  2350  2370  2373  2393  2415  2424  2426  2441  2445  2457  2461  2467  2493  2496  2507  2526  2539  2553  2559  2569  2585  2598  2602  2604  2629  2642  2648  2663  2692  2697  2713  2718  2721  2732  2745  2751  2768  2782  2787  2788  2790  2796  2839  2846  2855  2893  2917  2924  2927  2948  2969  2984  2986  2987  3006  3013  3049  3053  3087  3115  3116  3127  3182  3185  3190  3206  3240  3241  3245  3253  3256  3277  3304  3305  3309  3319  3360  3371  3375  3378  3421  3436  3538  3546  3592  3593  3639  3641  3653  3705  3706  3724  3748  3752  3765  3808  3950  3979  4050  4141  4153  4175  4209  4249  4351  4400  4470  4513  4543  4616  4634  4723  4825  4882  4913  5032  5058  5066  5095  5133  5222  5695  5708  5767  5822  5971  5977  6286  6298  6588  6692  6832  6903  7015  7029  7171  7194  7263  7272  7285  7412  7617  7636  7759  8175  8191  8285  8524  8549  8578  8737  8934  9427  9482  9702  9717  9815  9881 10006 10881 10882 10897 11251 11497 11532 11981 12504 12550 12796 12929 13287 13671 13908 14340 14810 14920 15049 15359 15451 15974 16829 16911 17011 17216 17330 17399 17565 17839 17847 18045 18113 18202 18287 18353 18648 18652 18696 18699 18857 18900 19685 20014 20456 21009 21033 21242 21280 21373 22020 22490 22585 22756 22802 23160 23174 23225 23230 23238 23299 23332 23357 23456 23848 24050 24166 24354 24526 24648 24656 24830 24854 24902 24997 25505 25855 25949 26002 26088 26422 26606 26830 27218 27280 27329 27420 27430 27445 27535 27733 28205 28275 28615 28903 28972 29648 29896 29950 30044 30091 30152 30159 30364 30640 30692 31018 31241 31513 31837 31928 32160 32611 32716 32728 32836 32915 33043 33079]
<Cluster with 476 elements, centroid=1810, id=6>,[  451   456   479   491   505   515   538   557   558   563   565   578   591   604   609   614   624   649   675   676   682   688   690   691   705   712   724   731   732   750   753   785   790   799   806   812   816   820   822   830   838   852   860   867   870   876   882   888   930   934   952   962   967   969   973   982   987   990   993  1001  1002  1007  1053  1066  1074  1091  1111  1150  1160  1163  1164  1169  1170  1179  1180  1191  1199  1217  1218  1220  1229  1251  1274  1290  1301  1304  1330  1344  1367  1396  1402  1424  1437  1441  1467  1491  1523  1530  1546  1558  1571  1573  1609  1616  1617  1649  1674  1676  1697  1719  1722  1726  1733  1736  1747  1751  1756  1805  1806  1808  1810  1842  1864  1874  1918  1922  1923  1927  1933  1969  2003  2018  2019  2024  2038  2044  2052  2057  2063  2071  2093  2118  2119  2122  2128  2150  2156  2174  2195  2212  2219  2253  2266  2287  2289  2291  2297  2310  2327  2338  2345  2352  2391  2400  2407  2425  2465  2471  2476  2541  2558  2560  2589  2617  2619  2627  2656  2657  2667  2669  2680  2702  2729  2743  2824  2857  2862  2883  2888  2960  2988  3022  3023  3035  3079  3080  3083  3100  3103  3118  3131  3147  3167  3179  3195  3219  3221  3226  3278  3295  3316  3420  3484  3499  3503  3568  3584  3698  3699  3723  3733  3734  3782  3788  3876  3884  3888  3898  3958  3960  3973  3982  4030  4049  4096  4180  4270  4324  4336  4353  4356  4374  4399  4474  4655  4828  4831  4883  4924  4946  4987  5064  5076  5087  5098  5151  5201  5209  5584  5671  5751  5934  5940  5950  5968  5996  6109  6181  6364  6394  6598  6679  6790  6830  7111  7188  7234  7273  7362  7410  7449  7571  7851  7891  8067  8108  8296  8370  8393  8475  8491  8493  8645  8714  8856  8929  8994  9146  9432  9805  9842 10017 10176 10295 10359 10548 10813 10975 11002 11059 11100 11227 11268 11374 11496 11498 11632 11814 12069 12351 12364 12568 12596 12703 12882 13087 13204 13270 13303 14014 14056 14140 14220 14356 14359 14685 15640 15643 15654 15742 16095 16122 16238 16250 16293 16505 16632 16751 16862 16943 16981 17047 17063 17093 17114 17310 17454 17527 17566 17842 17931 18040 18125 18146 18158 18324 18507 18680 18959 19086 19314 19446 19514 19528 19576 19793 19857 20243 20346 20910 21036 21425 21515 21557 21663 21827 21854 21944 22203 22820 22896 23040 23147 23498 23546 23630 23817 23974 24005 24007 24022 24065 24260 24470 24602 24649 24672 24713 25142 25248 25281 25557 25611 25682 25748 25784 26144 26299 26356 26524 26556 26701 26753 27163 27291 27451 27493 27545 27547 27597 27711 27855 28112 28200 28391 28664 28796 28809 28900 28934 29117 29132 29139 29206 29289 29373 29548 29687 29777 29883 30426 30620 30724 30730 31036 31112 31120 31278 31310 31322 31497 31610 31619 31895 32325 32484 32712 32759 32775 32797 32802 32833 32910 33008 33030 33035]
<Cluster with 427 elements, centroid=1814, id=7>,[  430   480   485   535   544   572   592   616   621   669   698   720   728   756   783   808   809   823   828   840   858   864   918   925   927   939   971  1030  1032  1047  1049  1065  1092  1105  1112  1131  1133  1213  1238  1296  1299  1306  1310  1324  1331  1335  1336  1352  1354  1374  1394  1395  1398  1473  1476  1486  1517  1531  1598  1607  1615  1633  1643  1647  1668  1677  1695  1698  1718  1725  1727  1765  1775  1776  1780  1798  1814  1837  1873  1904  1909  1911  1920  1932  1936  1942  1985  1997  2016  2034  2039  2041  2046  2048  2049  2050  2062  2102  2145  2146  2165  2188  2194  2197  2199  2206  2243  2249  2254  2256  2296  2300  2324  2340  2348  2362  2384  2410  2430  2440  2449  2451  2466  2483  2484  2486  2488  2531  2532  2557  2561  2567  2572  2582  2584  2590  2623  2625  2649  2653  2666  2675  2696  2746  2774  2781  2798  2807  2827  2829  2864  2866  2869  2876  2891  2903  2913  2914  2931  2940  3004  3019  3028  3039  3047  3070  3108  3133  3154  3184  3192  3200  3207  3224  3231  3257  3259  3266  3270  3293  3311  3317  3333  3346  3364  3380  3389  3401  3441  3486  3507  3521  3544  3602  3762  3776  3792  3803  3858  3918  3971  3974  4008  4009  4014  4129  4134  4228  4432  4603  4653  4816  4887  4901  4909  4964  4968  4976  4990  5062  5140  5216  5494  5562  5635  5683  5770  5907  6158  6276  6441  6630  6707  6906  7216  7480  7536  7761  7902  7904  7909  8055  8336  8375  8727  8998  9039  9681  9820 10196 10214 10500 10542 10568 12047 12053 12111 12620 12779 12999 13203 13214 13235 13325 13340 13504 13993 14188 14550 14690 14735 14976 15348 15415 15604 15656 15756 16186 16191 16345 16350 16598 16697 16872 16885 16903 17149 17229 17430 17586 17596 17814 17875 18073 18136 18169 18280 18358 18371 18539 18747 18813 18884 19170 19218 19467 19609 19983 20123 20204 20236 20264 20269 20389 20483 20508 20718 20890 20971 21018 21207 21221 21363 21549 21604 21762 22346 22594 22727 22838 22971 23346 23362 23504 23590 23686 23801 23890 23984 23986 24083 24119 24288 24371 24503 24560 24614 24639 24655 24841 24954 25086 25205 25503 25554 25720 25788 26011 26031 26069 26293 26390 26786 26931 26945 26948 27122 27439 27454 27539 27556 27574 27665 27707 27714 27737 27782 27935 28023 28101 28284 28356 28478 28562 28563 28580 28658 28727 28738 28816 28950 28954 28986 29000 29038 29087 29180 29288 29335 29341 29514 29575 29639 30060 30134 30204 30349 30695 30726 30938 31395 31894 32052 32096 32131 32247 32318 32319 32448 32492 32511 32574 32658 32690 32885 33037 33088]
<Cluster with 329 elements, centroid=2036, id=8>,[  530   580   600   617   677   686   707   710   733   765   779   787   827   831   863   884   901   936   944   968   975   999  1040  1060  1063  1078  1104  1140  1156  1194  1214  1216  1228  1242  1282  1283  1295  1308  1314  1321  1343  1360  1369  1387  1393  1409  1412  1446  1458  1462  1481  1483  1507  1520  1529  1544  1556  1590  1591  1604  1612  1655  1663  1665  1667  1670  1711  1717  1742  1749  1757  1764  1784  1788  1794  1825  1857  1867  1869  1887  1888  1910  1953  1958  1971  1973  1980  1984  1986  1991  2015  2036  2037  2053  2058  2086  2088  2090  2097  2111  2137  2204  2205  2223  2244  2275  2295  2302  2319  2320  2328  2334  2359  2383  2436  2442  2447  2452  2462  2475  2495  2503  2525  2550  2621  2632  2662  2678  2687  2717  2719  2735  2749  2770  2838  2843  2856  2882  2885  2894  2906  2923  2929  2930  2965  2990  2992  3007  3010  3030  3042  3050  3062  3098  3112  3130  3138  3143  3144  3170  3194  3197  3223  3233  3244  3286  3294  3299  3340  3344  3357  3369  3372  3385  3443  3453  3460  3480  3515  3541  3547  3578  3640  3664  3669  3678  3688  3730  3738  3790  3809  3816  3826  3833  3836  3846  3908  3999  4039  4044  4052  4166  4278  4337  4349  4357  4376  4557  4758  4766  4780  4792  4834  5365  5499  5590  6011  6042  6060  6180  6450  6564  6700  6704  6775  6827  6890  7072  7104  7243  7287  7297  7299  7575  7623  7689  7835  7967  8012  8124  8202  8269  8573  8650  8664  9024  9091  9223  9279  9333  9923  9994 10146 10567 10605 10694 10964 11484 11629 11649 11888 11943 12145 12560 12742 13168 13532 13619 14431 14542 15589 16068 16203 16281 16838 16866 17410 17455 17666 17992 18198 18271 18691 18873 18942 19402 19674 19701 20011 20686 20761 20820 20909 21322 22572 22610 22945 23102 23680 23904 23988 24040 24448 25352 25844 26789 26887 27317 27940 28105 28216 28770 29195 29196 29386 29494 29706 29715 30223 30503 30534 30890 31068 31106 31656 31723 31862 32264 32519]
<Cluster with 328 elements, centroid=2229, id=9>,[  171   173   174   205   209   214   215   217   239   300   301   307   323   357   370   406   452   467   500   541   630   631   633   650   658   730   743   751   755   786   871   892   984  1010  1059  1068  1088  1093  1113  1123  1145  1165  1188  1202  1215  1224  1245  1271  1307  1312  1317  1318  1338  1379  1382  1389  1432  1438  1445  1448  1501  1534  1547  1587  1599  1601  1681  1721  1729  1752  1768  1779  1783  1803  1812  1819  1827  1862  1885  1892  1913  1944  1990  2008  2021  2060  2067  2079  2106  2132  2139  2214  2229  2261  2307  2396  2416  2418  2528  2587  2616  2631  2660  2674  2783  2800  2845  2848  2867  2907  2999  3003  3109  3199  3201  3298  3391  3406  3465  3520  3532  3646  3704  3725  3873  3896  3909  3993  4015  4235  4310  4341  4393  4674  4707  4899  4993  5063  5086  5389  5484  5542  5696  5773  5825  5876  6238  6271  6476  6538  6634  6913  6941  7032  7464  8133  8140  8592  8605  9181  9216  9221 10082 10207 10211 10315 10355 10563 10673 10711 10839 11027 11044 11060 11089 11284 11752 11774 11895 12210 12238 13337 13527 13664 13813 13838 14125 14397 14530 14669 14688 14697 14721 14777 14781 15073 15396 15492 15619 15670 15971 16090 16354 16489 16509 17023 17131 17197 17230 17876 17986 18007 18107 18109 18252 18380 18442 18555 18751 18888 19024 19109 19273 19330 19472 19766 19797 19799 20057 20142 20183 20553 21124 21454 21540 21577 21583 21632 21821 21830 21833 21839 21843 21957 22022 22093 22236 22332 22545 22576 22626 22645 22673 22944 23279 23507 24070 24165 24229 24358 24465 24646 24676 24759 24775 24881 25259 25348 25351 25597 26218 26304 26574 26592 26816 26818 26839 26994 27011 27092 27169 27187 27577 27671 27752 27808 27815 28167 28443 28458 28464 28473 28523 28592 28626 28683 29028 29037 29154 29162 29204 29230 29323 29410 29558 29574 29775 29898 30178 30278 30281 30350 30430 30601 30631 30707 31028 31069 31485 31638 31757 31773 31904 32054 32158 32469 32500 32734]
